Date,Price
10-2017,2.88
09-2017,2.98
08-2017,2.9
07-2017,2.98
06-2017,2.98
05-2017,3.15
04-2017,3.1
03-2017,2.88
02-2017,2.85
01-2017,3.3
12-2016,3.59
11-2016,2.55
10-2016,2.98
09-2016,2.99
08-2016,2.82
07-2016,2.82
06-2016,2.59
05-2016,1.92
04-2016,1.92
03-2016,1.73
02-2016,1.99
01-2016,2.28
12-2015,1.93
11-2015,2.09
10-2015,2.34
09-2015,2.66
08-2015,2.77
07-2015,2.84
06-2015,2.78
05-2015,2.85
04-2015,2.61
03-2015,2.83
02-2015,2.87
01-2015,2.99
12-2014,3.48
11-2014,4.12
10-2014,3.78
09-2014,3.92
08-2014,3.91
07-2014,4.05
06-2014,4.59
05-2014,4.58
04-2014,4.66
03-2014,4.9
02-2014,6
01-2014,4.71
12-2013,4.24
11-2013,3.64
10-2013,3.68
09-2013,3.62
08-2013,3.43
07-2013,3.62
06-2013,3.83
05-2013,4.04
04-2013,4.17
03-2013,3.81
02-2013,3.33
01-2013,3.33
12-2012,3.34
11-2012,3.54
10-2012,3.32
09-2012,2.85
08-2012,2.84
07-2012,2.95
06-2012,2.46
05-2012,2.43
04-2012,1.95
03-2012,2.17
02-2012,2.51
01-2012,2.67
12-2011,3.17
11-2011,3.24
10-2011,3.57
09-2011,3.9
08-2011,4.06
07-2011,4.42
06-2011,4.54
05-2011,4.31
04-2011,4.24
03-2011,3.97
02-2011,4.09
01-2011,4.49
12-2010,4.25
11-2010,3.71
10-2010,3.43
09-2010,3.89
08-2010,4.32
07-2010,4.63
06-2010,4.8
05-2010,4.14
04-2010,4.03
03-2010,4.29
02-2010,5.32
01-2010,5.83
12-2009,5.35
11-2009,3.66
10-2009,4.01
09-2009,2.99
08-2009,3.14
07-2009,3.38
06-2009,3.8
05-2009,3.83
04-2009,3.5
03-2009,3.96
02-2009,4.52
01-2009,5.24
12-2008,5.82
11-2008,6.68
10-2008,6.74
09-2008,7.67
08-2008,8.26
07-2008,11.09
06-2008,12.69
05-2008,11.27
04-2008,10.18
03-2008,9.41
02-2008,8.54
01-2008,7.99
12-2007,7.11
11-2007,7.1
10-2007,6.74
09-2007,6.08
08-2007,6.22
07-2007,6.22
06-2007,7.35
05-2007,7.64
04-2007,7.6
03-2007,7.11
02-2007,8
01-2007,6.55
12-2006,6.73
11-2006,7.41
10-2006,5.85
09-2006,4.9
08-2006,7.14
07-2006,6.17
06-2006,6.21
05-2006,6.25
04-2006,7.16
03-2006,6.89
02-2006,7.54
01-2006,8.69
12-2005,13.05
11-2005,10.3
10-2005,13.42
09-2005,11.75
08-2005,9.53
07-2005,7.63
06-2005,7.18
05-2005,6.47
04-2005,7.16
03-2005,6.96
02-2005,6.14
01-2005,6.15
12-2004,6.58
11-2004,6.17
10-2004,6.35
09-2004,5.15
08-2004,5.41
07-2004,5.93
06-2004,6.27
05-2004,6.33
04-2004,5.71
03-2004,5.39
02-2004,5.37
01-2004,6.14
12-2003,6.13
11-2003,4.47
10-2003,4.63
09-2003,4.62
08-2003,4.99
07-2003,5.03
06-2003,5.82
05-2003,5.81
04-2003,5.26
03-2003,5.93
02-2003,7.71
01-2003,5.43
12-2002,4.74
11-2002,4.04
10-2002,4.13
09-2002,3.55
08-2002,3.09
07-2002,2.99
06-2002,3.26
05-2002,3.5
04-2002,3.43
03-2002,3.03
02-2002,2.32
01-2002,2.32
12-2001,2.3
11-2001,2.34
10-2001,2.46
09-2001,2.19
08-2001,2.97
07-2001,3.11
06-2001,3.72
05-2001,4.19
04-2001,5.19
03-2001,5.23
02-2001,5.61
01-2001,8.17
12-2000,8.9
11-2000,5.52
10-2000,5.02
09-2000,5.06
08-2000,4.43
07-2000,3.99
06-2000,4.29
05-2000,3.59
04-2000,3.04
03-2000,2.79
02-2000,2.66
01-2000,2.42
12-1999,2.36
11-1999,2.37
10-1999,2.73
09-1999,2.55
08-1999,2.8
07-1999,2.31
06-1999,2.3
05-1999,2.26
04-1999,2.15
03-1999,1.79
02-1999,1.77
01-1999,1.85
12-1998,1.72
11-1998,2.12
10-1998,1.91
09-1998,2.02
08-1998,1.85
07-1998,2.17
06-1998,2.17
05-1998,2.14
04-1998,2.43
03-1998,2.24
02-1998,2.23
01-1998,2.09
12-1997,2.35
11-1997,3.01
10-1997,3.07
09-1997,2.88
08-1997,2.49
07-1997,2.19
06-1997,2.2
05-1997,2.25
04-1997,2.03
03-1997,1.89
02-1997,2.15
01-1997,3.45
